City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-07-27 18:14:41,22.0752,-159.319,80.92,81,40,1.01
1,Fairbanks,US,2021-07-27 18:14:42,64.8378,-147.7164,63.1,77,90,4.61
2,Avarua,CK,2021-07-27 18:14:42,-21.2078,-159.775,69.85,83,40,3.44
3,North Aurora,US,2021-07-27 18:14:28,41.8061,-88.3273,85.28,63,90,1.01
4,Vanderhoof,CA,2021-07-27 18:09:52,54.0166,-124.0198,66.22,40,18,4.43
5,Puerto Ayora,EC,2021-07-27 18:14:42,-0.7393,-90.3518,74.7,68,55,10.25
6,Pevek,RU,2021-07-27 18:14:42,69.7008,170.3133,33.96,93,100,14.63
7,Chuy,UY,2021-07-27 18:14:43,-33.6971,-53.4616,49.1,52,8,17.27
8,Ostersund,SE,2021-07-27 18:14:43,63.1792,14.6357,74.61,49,71,8.05
9,Meadow Lake,US,2021-07-27 18:14:43,34.8014,-106.5436,85.24,43,61,7.47
10,La Libertad,EC,2021-07-27 18:14:44,-2.2333,-80.9,73.31,79,92,11.05
11,Nemuro,JP,2021-07-27 18:14:44,43.3236,145.575,62.4,100,100,6.55
12,Vetlanda,SE,2021-07-27 18:14:44,57.4289,15.0776,60.67,98,100,2.8
13,Psebay,RU,2021-07-27 18:14:44,44.1234,40.8107,60.15,96,100,7.58
14,Kudahuvadhoo,MV,2021-07-27 18:14:45,2.6708,72.8944,82.24,74,99,9.1
15,Thompson,CA,2021-07-27 18:14:45,55.7435,-97.8558,82.2,25,43,9.33
16,San Andres,CO,2021-07-27 18:10:13,12.5847,-81.7006,87.82,70,40,11.5
17,Nikolskoye,RU,2021-07-27 18:14:45,59.7035,30.7861,80.49,54,42,4.45
18,Gorontalo,ID,2021-07-27 18:14:45,0.5412,123.0595,73.02,90,57,3.22
19,Komsomolskiy,UZ,2021-07-27 18:14:46,40.4272,71.7189,84.92,34,40,4.61
20,Vao,NC,2021-07-27 18:14:46,-22.6667,167.4833,67.71,59,79,15.9
21,Rikitea,PF,2021-07-27 18:14:46,-23.1203,-134.9692,74.28,77,97,14.72
22,Chegdomyn,RU,2021-07-27 18:14:46,51.1167,133.0167,67.62,97,98,1.05
23,Nalut,LY,2021-07-27 18:14:47,30.3333,10.85,94.28,11,0,10.25
24,Mar Del Plata,AR,2021-07-27 18:14:16,-38.0023,-57.5575,51.01,56,40,11.99
25,Georgetown,MY,2021-07-27 18:14:47,5.4112,100.3354,83.89,83,40,0.0
26,Port Lincoln,AU,2021-07-27 18:14:47,-34.7333,135.8667,53.26,71,25,27.54
27,Carnarvon,AU,2021-07-27 18:14:48,-24.8667,113.6333,59.07,58,90,4.61
28,Nizwa,OM,2021-07-27 18:14:48,22.9333,57.5333,100.47,28,98,2.26
29,Lorengau,PG,2021-07-27 18:14:48,-2.0226,147.2712,81.14,78,28,7.29
30,Saint George,US,2021-07-27 18:14:48,37.1041,-113.5841,90.79,52,1,1.99
31,Presidencia Roque Saenz Pena,AR,2021-07-27 18:14:49,-26.7852,-60.4388,63.86,11,1,12.8
32,Saldanha,ZA,2021-07-27 18:14:49,-33.0117,17.9442,57.72,86,100,12.97
33,Ancud,CL,2021-07-27 18:14:49,-41.8697,-73.8203,49.53,65,63,2.04
34,Hithadhoo,MV,2021-07-27 18:14:49,-0.6,73.0833,81.07,78,98,7.49
35,Castro,BR,2021-07-27 18:14:50,-24.7911,-50.0119,62.58,74,75,8.25
36,Yellowknife,CA,2021-07-27 18:10:23,62.456,-114.3525,56.32,62,54,5.01
37,Severo-Kurilsk,RU,2021-07-27 18:14:50,50.6789,156.125,57.0,97,100,9.06
38,Awbari,LY,2021-07-27 18:14:50,26.5921,12.7805,94.41,13,3,9.28
39,Toora-Khem,RU,2021-07-27 18:14:50,52.4675,96.11,58.1,97,96,2.3
40,Kikwit,CD,2021-07-27 18:14:51,-5.041,18.8162,77.94,17,26,3.09
41,Seryshevo,RU,2021-07-27 18:14:51,51.0933,128.3786,68.23,97,100,4.76
42,Cape Town,ZA,2021-07-27 18:12:53,-33.9258,18.4232,57.09,88,90,5.99
43,Osinniki,RU,2021-07-27 18:14:51,53.6239,87.3598,52.12,91,32,2.26
44,Warrington,GB,2021-07-27 18:14:52,53.3925,-2.5802,68.11,82,40,8.05
45,Kununurra,AU,2021-07-27 18:11:39,-15.7667,128.7333,66.18,88,75,0.0
46,Lebu,CL,2021-07-27 18:14:52,-37.6167,-73.65,49.68,66,1,24.74
47,Jamestown,US,2021-07-27 18:14:52,42.097,-79.2353,85.32,43,75,14.0
48,Cherskiy,RU,2021-07-27 18:14:52,68.75,161.3,35.87,85,91,17.02
49,Bonthe,SL,2021-07-27 18:14:53,7.5264,-12.505,77.59,83,98,11.12
50,Sao Raimundo Nonato,BR,2021-07-27 18:14:53,-9.0153,-42.6994,92.1,25,4,8.5
51,Nouadhibou,MR,2021-07-27 18:14:53,20.931,-17.0347,69.57,87,2,27.92
52,Paralimni,CY,2021-07-27 18:14:54,35.0375,33.9833,88.68,53,0,1.99
53,Gubkinskiy,RU,2021-07-27 18:14:54,64.434,76.5026,55.06,70,100,8.25
54,Hilo,US,2021-07-27 18:13:02,19.7297,-155.09,76.73,89,90,0.0
55,Klobuck,PL,2021-07-27 18:14:54,50.9008,18.9367,81.61,59,76,6.17
56,Cidreira,BR,2021-07-27 18:14:54,-30.1811,-50.2056,53.2,63,75,18.48
57,Los Algarrobos,PA,2021-07-27 18:14:55,8.5,-82.4333,84.87,67,65,7.7
58,Rumilly,FR,2021-07-27 18:14:55,45.8667,5.95,79.41,65,0,3.44
59,Khani,GE,2021-07-27 18:11:32,41.9563,42.9566,63.97,97,98,0.13
60,Dillon,US,2021-07-27 18:10:30,34.4166,-79.3712,95.2,46,26,3.91
61,San Agustin,MX,2021-07-27 18:14:55,20.5333,-103.4667,78.51,53,40,4.61
62,Yuksekova,TR,2021-07-27 18:14:55,37.5736,44.2872,67.57,31,2,2.93
63,Sibolga,ID,2021-07-27 18:14:56,1.7427,98.7792,77.13,89,60,2.37
64,Rosehearty,GB,2021-07-27 18:14:56,57.697,-2.1132,65.28,91,93,10.8
65,Butaritari,KI,2021-07-27 18:14:56,3.0707,172.7902,82.02,71,100,9.31
66,Talcahuano,CL,2021-07-27 18:13:39,-36.7167,-73.1167,55.08,50,0,17.27
67,Flinders,AU,2021-07-27 18:14:57,-34.5833,150.8552,59.38,62,100,4.0
68,Coquimbo,CL,2021-07-27 18:14:57,-29.9533,-71.3436,58.73,72,0,12.66
69,Miri,MY,2021-07-27 18:14:57,4.4148,114.0089,81.27,82,62,5.08
70,Isangel,VU,2021-07-27 18:14:57,-19.55,169.2667,69.19,72,40,12.26
71,Riyadh,SA,2021-07-27 18:14:58,24.6877,46.7219,105.94,11,25,4.32
72,Hofn,IS,2021-07-27 18:14:58,64.2539,-15.2082,55.56,77,96,4.99
73,Kavaratti,IN,2021-07-27 18:14:58,10.5669,72.642,81.77,79,100,19.04
74,Swiecie,PL,2021-07-27 18:14:59,53.4095,18.4474,80.91,62,85,5.37
75,Moba,CN,2021-07-27 18:14:59,33.2288,105.0179,58.19,81,63,4.97
76,Kovdor,RU,2021-07-27 18:14:59,67.5662,30.4758,63.79,67,69,2.64
77,Richards Bay,ZA,2021-07-27 18:15:00,-28.783,32.0377,66.67,64,20,18.52
78,Chara,RU,2021-07-27 18:15:01,56.9064,118.2631,62.53,78,84,2.08
79,Beringovskiy,RU,2021-07-27 18:12:18,63.05,179.3167,48.07,96,100,9.57
80,Sulangan,PH,2021-07-27 18:15:01,11.1373,123.7228,83.88,73,99,17.27
81,Nauchnyy Gorodok,RU,2021-07-27 18:15:02,53.4203,83.521,59.86,58,0,6.71
82,Asau,RO,2021-07-27 18:13:52,46.4333,26.4,79.72,81,68,3.27
83,Port Elizabeth,ZA,2021-07-27 18:12:43,-33.918,25.5701,61.11,42,17,8.81
84,Labuhan,ID,2021-07-27 18:15:02,-6.8844,112.2051,73.62,86,38,7.16
85,Karratha,AU,2021-07-27 18:15:03,-20.7377,116.8463,70.29,85,9,8.75
86,Mabay,PH,2021-07-27 18:15:04,6.0577,124.4666,79.43,80,99,1.74
87,Nanortalik,GL,2021-07-27 18:10:59,60.1432,-45.2371,46.0,77,94,0.47
88,Foz Do Iguacu,BR,2021-07-27 18:13:12,-25.5478,-54.5881,60.15,58,75,9.22
89,Konstantinovka,RU,2021-07-27 18:15:04,49.6167,127.9833,71.44,97,100,7.36
90,Bambous Virieux,MU,2021-07-27 18:15:04,-20.3428,57.7575,67.21,85,95,15.77
91,Xining,CN,2021-07-27 18:15:05,36.6167,101.7667,53.73,84,79,3.02
92,Pisco,PE,2021-07-27 18:15:05,-13.7,-76.2167,68.02,77,2,10.36
93,Pangnirtung,CA,2021-07-27 18:15:05,66.1451,-65.7125,46.4,100,75,3.44
94,Vanavara,RU,2021-07-27 18:15:05,60.34,102.2797,66.58,55,14,2.3
95,Guerrero Negro,MX,2021-07-27 18:15:06,27.9769,-114.0611,78.51,55,0,10.94
96,Tasiilaq,GL,2021-07-27 18:15:06,65.6145,-37.6368,42.96,82,49,5.39
97,Provideniya,RU,2021-07-27 18:15:06,64.3833,-173.3,46.9,99,100,10.36
98,Cabo San Lucas,MX,2021-07-27 18:15:06,22.8909,-109.9124,95.81,68,1,8.01
99,Dingle,PH,2021-07-27 18:15:07,10.9995,122.6711,79.05,81,96,11.7
100,Busselton,AU,2021-07-27 18:15:07,-33.65,115.3333,47.05,66,93,12.39
101,Sibu,MY,2021-07-27 18:15:08,2.3,111.8167,75.31,93,50,1.1
102,Kloulklubed,PW,2021-07-27 18:15:08,7.0419,134.2556,83.88,75,100,14.72
103,Shingu,JP,2021-07-27 18:15:08,33.7333,135.9833,76.91,82,97,5.5
104,Bathsheba,BB,2021-07-27 18:15:08,13.2167,-59.5167,88.41,66,40,17.27
105,Carballo,ES,2021-07-27 18:15:09,43.213,-8.691,77.07,79,27,6.58
106,Hashtrud,IR,2021-07-27 18:15:09,37.4779,47.0508,82.44,25,75,7.43
107,Muramatsu,JP,2021-07-27 18:15:09,37.6833,139.1833,68.99,96,42,2.08
108,Bairnsdale,AU,2021-07-27 18:15:10,-37.8333,147.6167,61.7,51,81,1.99
109,Bontang,ID,2021-07-27 18:15:10,0.1333,117.5,77.9,86,100,9.73
110,Codrington,AU,2021-07-27 18:15:10,-38.2667,141.9667,53.78,89,91,23.71
111,Gornozavodsk,RU,2021-07-27 18:12:17,58.3758,58.3211,45.41,84,51,3.74
112,Hobart,AU,2021-07-27 18:15:01,-42.8794,147.3294,58.26,65,90,5.01
113,Yulara,AU,2021-07-27 18:15:11,-25.2406,130.9889,67.84,34,90,5.75
114,Hamilton,US,2021-07-27 18:13:24,39.1834,-84.5333,90.95,47,1,3.44
115,Ingham,US,2021-07-27 18:15:11,42.6,-84.3833,84.74,59,75,5.75
116,Mtambile,TZ,2021-07-27 18:15:12,-5.3833,39.7,75.25,77,18,20.42
117,Severnyy,RU,2021-07-27 18:15:12,50.677,36.5532,80.64,34,7,4.47
118,Vestmannaeyjar,IS,2021-07-27 18:15:12,63.4427,-20.2734,52.9,88,100,10.69
119,Ostrovnoy,RU,2021-07-27 18:15:12,68.0531,39.5131,45.48,88,44,2.15
120,Ribeira Grande,PT,2021-07-27 18:15:13,38.5167,-28.7,79.2,69,40,13.8
121,Kirovsk,UA,2021-07-27 18:15:13,48.6375,38.6428,74.77,47,79,9.75
122,Charleston,US,2021-07-27 18:13:52,32.7766,-79.9309,86.02,88,75,3.0
123,Bluefield,US,2021-07-27 18:11:11,37.2698,-81.2223,87.06,51,40,4.0
124,Bansko,BG,2021-07-27 18:15:14,41.8383,23.4885,75.2,44,53,2.64
125,Nakamura,JP,2021-07-27 18:15:14,32.9833,132.9333,73.78,95,68,2.93
126,Machaneng,BW,2021-07-27 18:15:14,-23.1862,27.4886,57.6,36,0,7.36
127,Adrar,MR,2021-07-27 18:15:14,20.5022,-10.0711,102.27,12,100,15.82
128,Albany,US,2021-07-27 18:15:15,42.6001,-73.9662,88.14,58,21,4.65
129,Bilibino,RU,2021-07-27 18:15:15,68.0546,166.4372,39.79,83,93,6.53
130,Constitucion,CL,2021-07-27 18:10:18,-35.3333,-72.4167,53.69,51,0,10.33
131,Zhigansk,RU,2021-07-27 18:15:15,66.7697,123.3711,50.63,78,47,12.26
132,Amapa,BR,2021-07-27 18:15:16,1.0,-52.0,87.4,55,6,3.49
133,Mackay,AU,2021-07-27 18:12:50,-21.15,149.2,58.05,80,72,3.31
134,Rocha,UY,2021-07-27 18:14:27,-34.4833,-54.3333,47.07,61,39,19.37
135,Auki,SB,2021-07-27 18:15:16,-8.7676,160.7034,76.37,90,77,4.54
136,Berberati,CF,2021-07-27 18:15:16,4.2612,15.7922,69.35,93,99,1.45
137,Faanui,PF,2021-07-27 18:15:16,-16.4833,-151.75,77.9,74,47,9.28
138,Sambava,MG,2021-07-27 18:15:17,-14.2667,50.1667,69.98,78,44,12.55
139,Wajima,JP,2021-07-27 18:15:17,37.4,136.9,75.81,87,57,2.28
140,Jiwani,PK,2021-07-27 18:15:17,25.05,61.7417,84.65,84,100,7.9
141,Hermanus,ZA,2021-07-27 18:15:18,-34.4187,19.2345,54.81,88,53,20.74
142,Victoria,HK,2021-07-27 18:12:58,22.2855,114.1577,87.85,89,79,1.01
143,Baft,IR,2021-07-27 18:15:18,29.234,56.6057,77.09,22,21,18.86
144,Voh,NC,2021-07-27 18:15:18,-20.9667,164.7,60.98,80,0,4.99
145,Taitung,TW,2021-07-27 18:15:18,22.7583,121.1444,82.2,84,89,3.67
146,Tay Ninh,VN,2021-07-27 18:15:19,11.3,106.1,79.11,82,99,9.35
147,Lizzano,IT,2021-07-27 18:15:19,40.391,17.4476,86.4,75,10,4.45
148,Arraial Do Cabo,BR,2021-07-27 18:15:19,-22.9661,-42.0278,84.06,51,0,12.66
149,Nome,US,2021-07-27 18:15:20,64.5011,-165.4064,50.07,93,90,6.91
150,Torbay,CA,2021-07-27 18:15:20,47.6666,-52.7314,67.75,94,90,10.36
151,Raga,SS,2021-07-27 18:15:20,8.4596,25.678,70.34,95,88,2.48
152,Tabou,CI,2021-07-27 18:15:21,4.423,-7.3528,78.04,73,100,10.67
153,Airai,TL,2021-07-27 18:15:21,-8.9266,125.4092,56.91,74,36,2.53
154,Aksarka,RU,2021-07-27 18:15:21,66.5606,67.7975,49.71,79,100,7.02
155,Anchorage,US,2021-07-27 18:11:08,61.2181,-149.9003,61.99,77,90,1.01
156,Jurmala,LV,2021-07-27 18:15:21,56.968,23.7704,69.82,94,40,5.75
157,La Palma,US,2021-07-27 18:15:22,33.8464,-118.0467,97.75,71,20,1.99
158,Gravdal,NO,2021-07-27 18:15:22,68.1214,13.5031,69.48,77,0,6.91
159,Vaini,TO,2021-07-27 18:15:22,-21.2,-175.2,68.16,100,90,6.91
160,Inuvik,CA,2021-07-27 18:11:00,68.3499,-133.7218,55.44,70,100,3.56
161,Ciudad Bolivar,VE,2021-07-27 18:15:23,8.1222,-63.5497,89.08,56,70,5.68
162,Smithers,CA,2021-07-27 18:15:23,54.7804,-127.1743,57.52,67,40,3.44
163,Ambilobe,MG,2021-07-27 18:15:23,-13.2,49.05,68.85,81,56,3.58
164,San Patricio,US,2021-07-27 18:15:24,28.017,-97.5169,93.29,41,29,6.91
165,East London,ZA,2021-07-27 18:14:59,-33.0153,27.9116,73.89,30,0,8.68
166,Nsanje,MW,2021-07-27 18:15:24,-16.92,35.262,67.08,72,99,2.59
167,Batagay,RU,2021-07-27 18:15:24,67.6333,134.6333,41.43,82,11,4.88
168,Bluff,NZ,2021-07-27 18:13:50,-46.6,168.3333,48.79,71,75,21.12
169,Shenjiamen,CN,2021-07-27 18:13:39,29.9576,122.298,78.71,91,100,13.82
170,Yantzaza,EC,2021-07-27 18:15:25,-3.8278,-78.7594,77.63,67,45,2.75
171,Lulea,SE,2021-07-27 18:15:25,65.5842,22.1547,68.07,77,0,5.75
172,Fujinomiya,JP,2021-07-27 18:15:25,35.2167,138.6167,75.18,88,95,1.97
173,Concordia,AR,2021-07-27 18:15:26,-31.393,-58.0209,55.47,38,20,11.99
174,Yining,CN,2021-07-27 18:15:26,29.0361,114.5636,75.9,97,21,3.09
175,Honiara,SB,2021-07-27 18:15:26,-9.4333,159.95,76.93,89,79,6.96
176,Thinadhoo,MV,2021-07-27 18:15:26,0.5333,72.9333,82.15,71,59,4.63
177,Tilichiki,RU,2021-07-27 18:14:02,60.4667,166.1,48.79,90,100,8.1
178,Ulladulla,AU,2021-07-27 18:15:27,-35.35,150.4667,56.88,62,90,8.68
179,Eirunepe,BR,2021-07-27 18:15:27,-6.6603,-69.8736,92.43,42,89,2.33
180,Rawson,AR,2021-07-27 18:15:27,-43.3002,-65.1023,45.54,61,61,26.24
181,Ponta Do Sol,PT,2021-07-27 18:15:28,32.6667,-17.1,76.71,75,3,3.85
182,Rojhan,PK,2021-07-27 18:15:28,28.6868,69.9534,93.2,51,100,13.73
183,Mezen,RU,2021-07-27 18:15:28,65.8522,44.24,45.66,80,100,9.53
184,Butembo,CD,2021-07-27 18:15:28,0.15,29.2833,58.98,88,78,2.59
185,Yataity,PY,2021-07-27 18:15:29,-26.3667,-56.0667,58.19,28,59,11.3
186,Kutum,SD,2021-07-27 18:15:29,14.2,24.6667,76.26,65,82,8.86
187,Polonnaruwa,LK,2021-07-27 18:15:29,7.9333,81.0,81.57,66,68,13.71
188,Sao Joao Do Piaui,BR,2021-07-27 18:15:29,-8.3581,-42.2467,94.51,25,6,8.55
189,Kavieng,PG,2021-07-27 18:13:30,-2.5744,150.7967,82.76,74,41,12.41
190,Tuatapere,NZ,2021-07-27 18:15:30,-46.1333,167.6833,48.81,87,77,5.1
191,Ilula,TZ,2021-07-27 18:15:30,-7.6766,36.0366,53.91,62,1,5.1
192,Iqaluit,CA,2021-07-27 18:15:30,63.7506,-68.5145,55.13,58,75,6.91
193,Olden,NO,2021-07-27 18:15:31,61.8364,6.8064,72.52,71,100,4.92
194,Hokitika,NZ,2021-07-27 18:15:31,-42.7167,170.9667,48.16,86,90,3.38
195,Merrill,US,2021-07-27 18:15:31,45.1805,-89.6835,82.17,69,40,12.66
196,Roma,US,2021-07-27 18:15:31,43.2128,-75.4557,86.13,70,75,3.44
197,Pogar,RU,2021-07-27 18:15:32,52.554,33.2591,72.37,59,84,7.96
198,Aloleng,PH,2021-07-27 18:15:32,16.1307,119.7824,82.27,84,100,20.09
199,Ornskoldsvik,SE,2021-07-27 18:15:32,63.2909,18.7153,76.82,43,0,5.75
200,Bonavista,CA,2021-07-27 18:15:32,48.6499,-53.1147,69.8,94,95,14.29
201,Juruti,BR,2021-07-27 18:15:33,-2.1522,-56.0922,96.53,30,3,5.46
202,Westport,US,2021-07-27 18:15:33,41.1415,-73.3579,92.61,48,1,1.01
203,Mantua,IT,2021-07-27 18:15:33,45.1667,10.7833,79.12,85,43,3.0
204,Mataura,NZ,2021-07-27 18:15:34,-46.1927,168.8643,48.47,93,96,1.7
205,Lata,PT,2021-07-27 18:15:34,40.1629,-8.3327,80.04,53,0,11.48
206,Kendrapara,IN,2021-07-27 18:15:34,20.5042,86.416,81.01,86,100,10.22
207,Husavik,IS,2021-07-27 18:15:34,66.0449,-17.3389,49.91,99,100,11.23
208,Badarganj,BD,2021-07-27 18:15:35,25.674,89.0549,82.33,89,99,5.41
209,Sept-Iles,CA,2021-07-27 18:15:35,50.2001,-66.3821,68.52,73,75,11.5
210,Luganville,VU,2021-07-27 18:15:35,-15.5333,167.1667,76.32,86,99,13.11
211,Esperance,AU,2021-07-27 18:15:36,-33.8667,121.9,50.34,76,69,19.22
212,Loknya,RU,2021-07-27 18:15:36,56.83,30.1467,66.58,85,99,6.85
213,Sao Joao Da Barra,BR,2021-07-27 18:15:36,-21.6403,-41.0511,80.69,67,0,14.07
214,Labytnangi,RU,2021-07-27 18:15:36,66.6572,66.4183,49.17,90,100,14.9
215,Atuona,PF,2021-07-27 18:15:37,-9.8,-139.0333,78.15,66,32,21.05
216,Liepaja,LV,2021-07-27 18:15:37,56.5419,21.0367,73.38,78,75,3.44
217,Caravelas,BR,2021-07-27 18:15:37,-17.7125,-39.2481,78.01,61,12,9.24
218,Puerto Gaitan,CO,2021-07-27 18:14:53,4.3133,-72.0816,85.5,64,50,2.19
219,Bujaru,BR,2021-07-27 18:15:37,-1.515,-48.0447,87.82,53,59,4.23
220,Tautira,PF,2021-07-27 18:15:38,-17.7333,-149.15,78.82,77,35,13.02
221,Magadan,RU,2021-07-27 18:15:38,59.5667,150.8,52.88,91,100,10.11
222,Arkhangelsk,RU,2021-07-27 18:15:38,64.5401,40.5433,53.71,87,0,4.47
223,Jalu,LY,2021-07-27 18:15:39,29.0331,21.5482,93.15,20,0,7.38
224,Norman Wells,CA,2021-07-27 18:15:39,65.282,-126.8329,60.84,67,75,4.61
225,Muswellbrook,AU,2021-07-27 18:15:39,-32.2667,150.9,38.32,89,15,5.17
226,Malumfashi,NG,2021-07-27 18:15:39,11.7853,7.6218,70.99,86,99,12.86
227,Hobyo,SO,2021-07-27 18:15:40,5.3505,48.5268,78.89,68,92,22.97
228,Tsumeb,NA,2021-07-27 18:10:44,-19.2333,17.7167,60.82,26,0,7.96
229,Verkhnevilyuysk,RU,2021-07-27 18:15:40,63.4453,120.3167,59.86,67,27,3.15
230,Margate,GB,2021-07-27 18:15:40,51.3813,1.3862,68.92,68,77,4.0
231,New Norfolk,AU,2021-07-27 18:15:40,-42.7826,147.0587,57.92,62,98,1.99
232,Port Blair,IN,2021-07-27 18:15:41,11.6667,92.75,82.13,84,91,17.94
233,Gannan,CN,2021-07-27 18:15:41,47.9147,123.5031,65.48,95,50,2.95
234,Ahipara,NZ,2021-07-27 18:15:41,-35.1667,173.1667,54.59,82,20,8.3
235,Juneau,US,2021-07-27 18:15:42,58.3019,-134.4197,60.84,87,75,1.01
236,Adra,ES,2021-07-27 18:15:42,36.7496,-3.0206,97.63,74,1,3.53
237,Touros,BR,2021-07-27 18:15:42,-5.1989,-35.4608,76.1,66,9,16.53
238,Sapa,PH,2021-07-27 18:15:42,5.1544,120.3241,82.96,82,100,9.01
239,Brae,GB,2021-07-27 18:15:43,60.3964,-1.353,55.31,83,80,5.21
240,Aitape,PG,2021-07-27 18:15:43,-3.1374,142.3475,78.3,88,34,6.35
241,Havelock,US,2021-07-27 18:15:43,34.8791,-76.9013,91.63,84,87,7.94
242,Chepareria,KE,2021-07-27 18:15:44,1.3077,35.2039,61.9,85,83,1.9
243,Geraldton,AU,2021-07-27 18:15:44,-28.7667,114.6,60.13,72,90,9.22
244,Balkhash,KZ,2021-07-27 18:15:44,46.844,74.9804,72.95,34,0,12.86
245,Camacupa,AO,2021-07-27 18:15:45,-12.0167,17.4833,61.27,26,59,1.25
246,Oktyabrskoye,RU,2021-07-27 18:14:16,43.0645,44.7417,57.34,100,100,13.42
247,Alta Floresta,BR,2021-07-27 18:15:45,-9.8756,-56.0861,94.82,28,40,3.44
248,Broken Hill,AU,2021-07-27 18:15:45,-31.95,141.4333,58.95,37,59,15.28
249,Yozgat,TR,2021-07-27 18:15:45,39.5833,35.3333,66.96,51,36,17.6
250,Tessalit,ML,2021-07-27 18:10:46,20.1986,1.0114,94.84,27,39,8.12
251,Monte Alegre,BR,2021-07-27 18:15:46,-2.0078,-54.0692,94.6,36,1,2.48
252,Qostanay,KZ,2021-07-27 18:15:46,53.1667,63.5833,62.17,54,54,7.52
253,Muros,ES,2021-07-27 18:15:46,42.7762,-9.0603,78.15,62,32,13.91
254,Salamiyah,SY,2021-07-27 18:15:47,35.0113,37.0532,83.88,38,0,11.81
255,Flin Flon,CA,2021-07-27 18:15:06,54.7682,-101.865,78.21,34,83,10.96
256,Vila,PT,2021-07-27 18:15:47,42.0304,-8.1588,69.75,55,21,7.49
257,Samarai,PG,2021-07-27 18:15:47,-10.6167,150.6667,78.57,84,83,11.54
258,Sobolevo,RU,2021-07-27 18:15:01,54.4299,31.8996,67.51,73,100,6.91
259,Corrente,BR,2021-07-27 18:15:47,-3.7367,-43.3394,96.53,29,29,3.2
260,Londoko,RU,2021-07-27 18:15:48,49.0333,131.9833,68.97,95,7,2.28
261,Puerto Escondido,MX,2021-07-27 18:15:48,15.85,-97.0667,85.03,74,75,5.75
262,Ouadda,CF,2021-07-27 18:15:48,8.0777,22.4007,68.45,97,92,3.56
